Extracted features not found, loading raw features.
Iteration 1: loss = 0.693147, grad_norm = 0.071915
Iteration 2: loss = 0.702982, grad_norm = 0.094185
Iteration 3: loss = 0.670263, grad_norm = 0.023688
Iteration 4: loss = 0.669667, grad_norm = 0.014057
Iteration 5: loss = 0.669245, grad_norm = 0.000111
Iteration 6: loss = 0.669245, grad_norm = 0.000104
Iteration 7: loss = 0.669245, grad_norm = 0.000069
Iteration 8: loss = 0.669245, grad_norm = 0.000070
Iteration 9: loss = 0.669245, grad_norm = 0.000103
Iteration 10: loss = 0.669245, grad_norm = 0.000062
Iteration 11: loss = 0.669245, grad_norm = 0.000003
Iteration 12: loss = 0.669245, grad_norm = 0.000002
Iteration 13: loss = 0.669245, grad_norm = 0.000002
Iteration 14: loss = 0.669245, grad_norm = 0.000001
Iteration 15: loss = 0.669245, grad_norm = 0.000001
Iteration 16: loss = 0.669245, grad_norm = 0.000001
Iteration 17: loss = 0.669245, grad_norm = 0.000001
Iteration 18: loss = 0.669245, grad_norm = 0.000001
Iteration 19: loss = 0.669245, grad_norm = 0.000001
Iteration 20: loss = 0.669245, grad_norm = 0.000001
Iteration 21: loss = 0.669245, grad_norm = 0.000000
Iteration 22: loss = 0.669245, grad_norm = 0.000000
Iteration 23: loss = 0.669245, grad_norm = 0.000000
Iteration 24: loss = 0.669245, grad_norm = 0.000000
Iteration 25: loss = 0.669245, grad_norm = 0.000000
Iteration 26: loss = 0.669245, grad_norm = 0.000000
Iteration 27: loss = 0.669245, grad_norm = 0.000000
Iteration 28: loss = 0.669245, grad_norm = 0.000000
Iteration 29: loss = 0.669245, grad_norm = 0.000000
Iteration 30: loss = 0.669245, grad_norm = 0.000000
Iteration 31: loss = 0.669245, grad_norm = 0.000000
Iteration 32: loss = 0.669245, grad_norm = 0.000000
Iteration 33: loss = 0.669245, grad_norm = 0.000000
Iteration 34: loss = 0.669245, grad_norm = 0.000000
Iteration 35: loss = 0.669245, grad_norm = 0.000000
Iteration 36: loss = 0.669245, grad_norm = 0.000000
Iteration 37: loss = 0.669245, grad_norm = 0.000000
Iteration 38: loss = 0.669245, grad_norm = 0.000000
Iteration 39: loss = 0.669245, grad_norm = 0.000000
Iteration 40: loss = 0.669245, grad_norm = 0.000000
Iteration 41: loss = 0.669245, grad_norm = 0.000000
Iteration 42: loss = 0.669245, grad_norm = 0.000000
Iteration 43: loss = 0.669245, grad_norm = 0.000000
Iteration 44: loss = 0.669245, grad_norm = 0.000000
Iteration 45: loss = 0.669245, grad_norm = 0.000000
Iteration 46: loss = 0.669245, grad_norm = 0.000000
Iteration 47: loss = 0.669245, grad_norm = 0.000000
Iteration 48: loss = 0.669245, grad_norm = 0.000000
Iteration 49: loss = 0.669245, grad_norm = 0.000000
Iteration 50: loss = 0.669245, grad_norm = 0.000000
Iteration 51: loss = 0.669245, grad_norm = 0.000000
Iteration 52: loss = 0.669245, grad_norm = 0.000000
Iteration 53: loss = 0.669245, grad_norm = 0.000000
Iteration 54: loss = 0.669245, grad_norm = 0.000000
Iteration 55: loss = 0.669245, grad_norm = 0.000000
Iteration 56: loss = 0.669245, grad_norm = 0.000000
Iteration 57: loss = 0.669245, grad_norm = 0.000000
Iteration 58: loss = 0.669245, grad_norm = 0.000000
Iteration 59: loss = 0.669245, grad_norm = 0.000000
Iteration 60: loss = 0.669245, grad_norm = 0.000000
Iteration 61: loss = 0.669245, grad_norm = 0.000000
Iteration 62: loss = 0.669245, grad_norm = 0.000000
Iteration 63: loss = 0.669245, grad_norm = 0.000000
Iteration 64: loss = 0.669245, grad_norm = 0.000000
Iteration 65: loss = 0.669245, grad_norm = 0.000000
Iteration 66: loss = 0.669245, grad_norm = 0.000000
